Year,Ceremony,Award,Winner,Name,Film
1953,26,Art Direction (Black and White),,Titanic ,"Art Direction: Lyle Wheeler, Maurice Ransford; Set Decoration: Stuart Reiss"
1953,26,Art Direction (Color),,Knights of the Round Table ,"Art Direction: Alfred Junge, Hans Peters; Set Decoration: John Jarvis"
1953,26,Art Direction (Color),,Lili ,"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Arthur Krams"
1953,26,Art Direction (Color),1,The Robe ,"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Paul S. Fox"
1953,26,Art Direction (Color),,The Story of Three Loves ,"Art Direction: Cedric Gibbons, Preston Ames, Edward Carfagno, Gabriel Scognamillo; Set Decoration: Edwin B. Willis, Keogh Gleason, Arthur Krams, Jack D. Moore"
1953,26,Art Direction (Color),,Young Bess ,"Art Direction: Cedric Gibbons, Urie McCleary; Set Decoration: Edwin B. Willis, Jack D. Moore"
1953,26,Cinematography (Black and White),,The Four Poster ,Hal Mohr
1953,26,Cinematography (Black and White),1,From Here to Eternity ,Burnett Guffey
1953,26,Cinematography (Black and White),,Julius Caesar ,Joseph Ruttenberg
1953,26,Cinematography (Black and White),,Martin Luther ,Joseph C. Brun
1953,26,Cinematography (Black and White),,Roman Holiday ,"Frank Planer, Henri Alekan"
1953,26,Cinematography (Color),,All the Brothers Were Valiant ,George Folsey
1953,26,Cinematography (Color),,Beneath the 12-Mile Reef ,Edward Cronjager
1953,26,Cinematography (Color),,Lili ,Robert Planck
1953,26,Cinematography (Color),,The Robe ,Leon Shamroy
1953,26,Cinematography (Color),1,Shane ,Loyal Griggs
1953,26,Costume Design (Black and White),,The Actress ,Walter Plunkett
1953,26,Costume Design (Black and White),,Dream Wife ,"Helen Rose, Herschel McCoy"
1953,26,Costume Design (Black and White),,From Here to Eternity ,Jean Louis
1953,26,Costume Design (Black and White),,The President's Lady ,"Charles LeMaire, Renie"
1953,26,Costume Design (Black and White),1,Roman Holiday ,Edith Head
1953,26,Costume Design (Color),,The Band Wagon ,Mary Ann Nyberg
1953,26,Costume Design (Color),,Call Me Madam ,Irene Sharaff
1953,26,Costume Design (Color),,How to Marry a Millionaire ,"Charles LeMaire, Travilla"
1953,26,Costume Design (Color),1,The Robe ,"Charles LeMaire, Emile Santiago"
1953,26,Costume Design (Color),,Young Bess ,Walter Plunkett
1953,26,Directing,1,From Here to Eternity ,Fred Zinnemann
1953,26,Directing,,Lili ,Charles Walters
1953,26,Directing,,Roman Holiday ,William Wyler
1953,26,Directing,,Shane ,George Stevens
1953,26,Directing,,Stalag 17 ,Billy Wilder
1953,26,Documentary (Feature),,The Conquest of Everest ,"John Taylor, Leon Clore and Grahame Tharp, Producers"
1953,26,Documentary (Feature),1,The Living Desert ,"Walt Disney, Producer"
1953,26,Documentary (Feature),,A Queen Is Crowned ,"Castleton Knight, Producer"
1953,26,Documentary (Short Subject),1,The Alaskan Eskimo ,"Walt Disney, Producer"
1953,26,Documentary (Short Subject),,The Living City ,"John Barnes, Producer"
1953,26,Documentary (Short Subject),,Operation Blue Jay ,United States Army Signal Corps
1953,26,Documentary (Short Subject),,They Planted a Stone ,"James Carr, Producer"
1953,26,Documentary (Short Subject),,The Word ,"John Healy and John Adams, Producers"
1953,26,Film Editing,,Crazylegs ,Irvine (Cotton) Warburton
1953,26,Film Editing,1,From Here to Eternity ,William Lyon
1953,26,Film Editing,,The Moon Is Blue ,Otto Ludwig
1953,26,Film Editing,,Roman Holiday ,Robert Swink
1953,26,Film Editing,,The War of the Worlds ,Everett Douglas
1953,26,Music (Music Score of a Dramatic or Comedy Picture),,Above and Beyond ,Hugo Friedhofer
1953,26,Music (Music Score of a Dramatic or Comedy Picture),,From Here to Eternity ,"Morris Stoloff, George Duning"
1953,26,Music (Music Score of a Dramatic or Comedy Picture),,Julius Caesar ,Miklos Rozsa
1953,26,Music (Music Score of a Dramatic or Comedy Picture),1,Lili ,Bronislau Kaper
1953,26,Music (Music Score of a Dramatic or Comedy Picture),,This Is Cinerama ,Louis Forbes
1953,26,Music (Scoring of a Musical Picture),,The Band Wagon ,Adolph Deutsch
1953,26,Music (Scoring of a Musical Picture),,Calamity Jane ,Ray Heindorf
1953,26,Music (Scoring of a Musical Picture),1,Call Me Madam ,Alfred Newman
1953,26,Music (Scoring of a Musical Picture),,"The 5,000 Fingers of Dr. T ","Frederick Hollander, Morris Stoloff"
1953,26,Music (Scoring of a Musical Picture),,Kiss Me Kate ,"Andre Previn, Saul Chaplin"
1953,26,Music (Song),,"""The Moon Is Blue"" from The Moon Is Blue",Music by Herschel Burke Gilbert; Lyrics by Sylvia Fine
1953,26,Music (Song),,"""My Flaming Heart"" from Small Town Girl",Music by Nicholas Brodszky; Lyrics by Leo Robin
1953,26,Music (Song),,"""Sadie Thompson's Song (Blue Pacific Blues)"" from Miss Sadie Thompson",Music by Lester Lee; Lyrics by Ned Washington
1953,26,Music (Song),1,"""Secret Love"" from Calamity Jane",Music by Sammy Fain; Lyrics by Paul Francis Webster
1953,26,Music (Song),,"""That's Amore"" from The Caddy",Music by Harry Warren; Lyrics by Jack Brooks
1953,26,Best Motion Picture,1,From Here to Eternity ,"Buddy Adler, Producer"
1953,26,Best Motion Picture,,Julius Caesar ,"John Houseman, Producer"
1953,26,Best Motion Picture,,The Robe ,"Frank Ross, Producer"
1953,26,Best Motion Picture,,Roman Holiday ,"William Wyler, Producer"
1953,26,Best Motion Picture,,Shane ,"George Stevens, Producer"
1953,26,Short Subject (Cartoon),,Christopher Crumpet ,"Stephen Bosustow, Producer"
1953,26,Short Subject (Cartoon),,From A to Z-Z-Z-Z ,"Edward Selzer, Producer"
1953,26,Short Subject (Cartoon),,Rugged Bear ,"Walt Disney, Producer"
1953,26,Short Subject (Cartoon),,The Tell Tale Heart ,"Stephen Bosustow, Producer"
1953,26,Short Subject (Cartoon),1,"Toot, Whistle, Plunk and Boom ","Walt Disney, Producer"
1953,26,Short Subject (One Reel),,Christ among the Primitives ,"Vincenzo Lucci-Chiarissi, Producer"
1953,26,Short Subject (One Reel),,Herring Hunt ,National Film Board of Canada
1953,26,Short Subject (One Reel),,Joy of Living ,"Boris Vermont, Producer"
1953,26,Short Subject (One Reel),1,The Merry Wives of Windsor Overture ,"Johnny Green, Producer"
1953,26,Short Subject (One Reel),,Wee Water Wonders ,"Jack Eaton, Producer"
1953,26,Short Subject (Two Reel),1,Bear Country ,"Walt Disney, Producer"
1953,26,Short Subject (Two Reel),,Ben and Me ,"Walt Disney, Producer"
1953,26,Short Subject (Two Reel),,Return to Glennascaul ,Dublin Gate Theatre Productions
1953,26,Short Subject (Two Reel),,Vesuvius Express ,"Otto Lang, Producer"
1953,26,Short Subject (Two Reel),,Winter Paradise ,"Cedric Francis, Producer"
1953,26,Sound Recording,,Calamity Jane ,"Warner Brothers Studio Sound Department, William A. Mueller, Sound Director"
1953,26,Sound Recording,1,From Here to Eternity ,"Columbia Studio Sound Department, John P. Livadary, Sound Director"
1953,26,Sound Recording,,Knights of the Round Table ,"Metro-Goldwyn-Mayer Studio Sound Department, A. W. Watkins, Sound Director"
1953,26,Sound Recording,,The Mississippi Gambler ,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director"
1953,26,Sound Recording,,The War of the Worlds ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1953,26,Special Effects,1,The War of the Worlds ,Paramount Studio
1953,26,Writing (Motion Picture Story),,Above and Beyond ,"Beirne Lay, Jr."
1953,26,Writing (Motion Picture Story),,The Captain's Paradise ,Alec Coppel
1953,26,Writing (Motion Picture Story),,Hondo ,Louis L'Amour
1953,26,Writing (Motion Picture Story),,Little Fugitive ,"Ray Ashley, Morris Engel, Ruth Orkin"
1953,26,Writing (Motion Picture Story),1,Roman Holiday ,Dalton Trumbo
1953,26,Writing (Screenplay),,The Cruel Sea ,Eric Ambler
1953,26,Writing (Screenplay),1,From Here to Eternity ,Daniel Taradash
1953,26,Writing (Screenplay),,Lili ,Helen Deutsch
1953,26,Writing (Screenplay),,Roman Holiday ,"Ian McLellan Hunter, John Dighton"
1953,26,Writing (Screenplay),,Shane ,"A. B. Guthrie, Jr."
1953,26,Writing (Story and Screenplay),,The Band Wagon ,"Betty Comden, Adolph Green"
1953,26,Writing (Story and Screenplay),,The Desert Rats ,Richard Murphy
1953,26,Writing (Story and Screenplay),,The Naked Spur ,"Sam Rolfe, Harold Jack Bloom"
1953,26,Writing (Story and Screenplay),,Take the High Ground ,Millard Kaufman
1953,26,Writing (Story and Screenplay),1,Titanic ,"Charles Brackett, Walter Reisch, Richard Breen"
1953,26,Honorary Award,1,Pete Smith,
1953,26,Honorary Award,1,20th Century-Fox Film Corporation,
1953,26,Honorary Award,1,Joseph I. Breen,
1953,26,Honorary Award,1,Bell and Howell Company,
1953,26,Irving G. Thalberg Memorial Award,1,George Stevens,
1954,27,Actor,,Humphrey Bogart,The Caine Mutiny
1954,27,Actor,1,Marlon Brando,On the Waterfront
1954,27,Actor,,Bing Crosby,The Country Girl
1954,27,Actor,,James Mason,A Star Is Born
1954,27,Actor,,Dan O'Herlihy,Adventures of Robinson Crusoe
1954,27,Actor in a Supporting Role,,Lee J. Cobb,On the Waterfront
1954,27,Actor in a Supporting Role,,Karl Malden,On the Waterfront
1954,27,Actor in a Supporting Role,1,Edmond O'Brien,The Barefoot Contessa
1954,27,Actor in a Supporting Role,,Rod Steiger,On the Waterfront
1954,27,Actor in a Supporting Role,,Tom Tully,The Caine Mutiny
1954,27,Actress,,Dorothy Dandridge,Carmen Jones
1954,27,Actress,,Judy Garland,A Star Is Born
1954,27,Actress,,Audrey Hepburn,Sabrina
1954,27,Actress,1,Grace Kelly,The Country Girl
1954,27,Actress,,Jane Wyman,Magnificent Obsession
1954,27,Actress in a Supporting Role,,Nina Foch,Executive Suite
1954,27,Actress in a Supporting Role,,Katy Jurado,Broken Lance
1954,27,Actress in a Supporting Role,1,Eva Marie Saint,On the Waterfront
1954,27,Actress in a Supporting Role,,Jan Sterling,The High and the Mighty
1954,27,Actress in a Supporting Role,,Claire Trevor,The High and the Mighty
1954,27,Art Direction (Black and White),,The Country Girl ,"Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, Grace Gregory"
1954,27,Art Direction (Black and White),,Executive Suite ,"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Emile Kuri"
1954,27,Art Direction (Black and White),,Le Plaisir ,Max Ophuls
1954,27,Art Direction (Black and White),1,On the Waterfront ,Richard Day
1954,27,Art Direction (Black and White),,Sabrina ,"Art Direction: Hal Pereira, Walter Tyler; Set Decoration: Sam Comer, Ray Moyer"
1954,27,Art Direction (Color),,Brigadoon ,"Art Direction: Cedric Gibbons, Preston Ames; Set Decoration: Edwin B. Willis, Keogh Gleason"
1954,27,Art Direction (Color),,Desiree ,"Art Direction: Lyle Wheeler, Leland Fuller; Set Decoration: Walter M. Scott, Paul S. Fox"
1954,27,Art Direction (Color),,Red Garters ,"Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, Ray Moyer"
1954,27,Art Direction (Color),,A Star Is Born ,"Art Direction: Malcolm Bert, Gene Allen, Irene Sharaff; Set Decoration: George James Hopkins"
1954,27,Art Direction (Color),1,"20,000 Leagues under the Sea ",Art Direction: John Meehan; Set Decoration: Emile Kuri
1954,27,Cinematography (Black and White),,The Country Girl ,John F. Warren
1954,27,Cinematography (Black and White),,Executive Suite ,George Folsey
1954,27,Cinematography (Black and White),1,On the Waterfront ,Boris Kaufman
1954,27,Cinematography (Black and White),,Rogue Cop ,John Seitz
1954,27,Cinematography (Black and White),,Sabrina ,"Charles Lang, Jr."
1954,27,Cinematography (Color),,The Egyptian ,Leon Shamroy
1954,27,Cinematography (Color),,Rear Window ,Robert Burks
1954,27,Cinematography (Color),,Seven Brides for Seven Brothers ,George Folsey
1954,27,Cinematography (Color),,The Silver Chalice ,William V. Skall
1954,27,Cinematography (Color),1,Three Coins in the Fountain ,Milton Krasner
1954,27,Costume Design (Black and White),,The Earrings of Madame de... ,"Georges Annenkov, Rosine Delamare"
1954,27,Costume Design (Black and White),,Executive Suite ,Helen Rose
1954,27,Costume Design (Black and White),,Indiscretion of an American Wife ,Christian Dior
1954,27,Costume Design (Black and White),,It Should Happen to You ,Jean Louis
1954,27,Costume Design (Black and White),1,Sabrina ,Edith Head
1954,27,Costume Design (Color),,Brigadoon ,Irene Sharaff
1954,27,Costume Design (Color),,Desiree ,"Charles LeMaire, René Hubert"
1954,27,Costume Design (Color),1,Gate of Hell ,Sanzo Wada
1954,27,Costume Design (Color),,A Star Is Born ,"Jean Louis, Mary Ann Nyberg, Irene Sharaff"
1954,27,Costume Design (Color),,There's No Business Like Show Business ,"Charles LeMaire, Travilla, Miles White"
1954,27,Directing,,The Country Girl ,George Seaton
1954,27,Directing,,The High and the Mighty ,William Wellman
1954,27,Directing,1,On the Waterfront ,Elia Kazan
1954,27,Directing,,Rear Window ,Alfred Hitchcock
1954,27,Directing,,Sabrina ,Billy Wilder
1954,27,Documentary (Feature),,The Stratford Adventure ,"Guy Glover, Producer"
1954,27,Documentary (Feature),1,The Vanishing Prairie ,"Walt Disney, Producer"
1954,27,Documentary (Short Subject),,Jet Carrier ,"Otto Lang, Producer"
1954,27,Documentary (Short Subject),,Rembrandt: A Self-Portrait ,"Morrie Roizman, Producer"
1954,27,Documentary (Short Subject),1,Thursday's Children ,World Wide Pictures and Morse Films
1954,27,Film Editing,,The Caine Mutiny ,"William A. Lyon, Henry Batista"
1954,27,Film Editing,,The High and the Mighty ,Ralph Dawson
1954,27,Film Editing,1,On the Waterfront ,Gene Milford
1954,27,Film Editing,,Seven Brides for Seven Brothers ,Ralph E. Winters
1954,27,Film Editing,,"20,000 Leagues under the Sea ",Elmo Williams
1954,27,Music (Music Score of a Dramatic or Comedy Picture),,The Caine Mutiny ,Max Steiner
1954,27,Music (Music Score of a Dramatic or Comedy Picture),,Genevieve ,Larry Adler
1954,27,Music (Music Score of a Dramatic or Comedy Picture),1,The High and the Mighty ,Dimitri Tiomkin
1954,27,Music (Music Score of a Dramatic or Comedy Picture),,On the Waterfront ,Leonard Bernstein
1954,27,Music (Music Score of a Dramatic or Comedy Picture),,The Silver Chalice ,Franz Waxman
1954,27,Music (Scoring of a Musical Picture),,Carmen Jones ,Herschel Burke Gilbert
1954,27,Music (Scoring of a Musical Picture),,The Glenn Miller Story ,"Joseph Gershenson, Henry Mancini"
1954,27,Music (Scoring of a Musical Picture),1,Seven Brides for Seven Brothers ,"Adolph Deutsch, Saul Chaplin"
1954,27,Music (Scoring of a Musical Picture),,A Star Is Born ,Ray Heindorf
1954,27,Music (Scoring of a Musical Picture),,There's No Business Like Show Business ,"Alfred Newman, Lionel Newman"
1954,27,Music (Song),,"""Count Your Blessings Instead Of Sheep"" from White Christmas",Music and Lyrics by Irving Berlin
1954,27,Music (Song),,"""The High And The Mighty"" from The High and the Mighty",Music by Dimitri Tiomkin; Lyrics by Ned Washington
1954,27,Music (Song),,"""Hold My Hand"" from Susan Slept Here",Music and Lyrics by Jack Lawrence and Richard Myers
1954,27,Music (Song),,"""The Man That Got Away"" from A Star Is Born",Music by Harold Arlen; Lyrics by Ira Gershwin
1954,27,Music (Song),1,"""Three Coins In The Fountain"" from Three Coins in the Fountain",Music by Jule Styne; Lyrics by Sammy Cahn
1954,27,Best Motion Picture,,The Caine Mutiny ,"Stanley Kramer, Producer"
1954,27,Best Motion Picture,,The Country Girl ,"William Perlberg, Producer"
1954,27,Best Motion Picture,1,On the Waterfront ,"Sam Spiegel, Producer"
1954,27,Best Motion Picture,,Seven Brides for Seven Brothers ,"Jack Cummings, Producer"
1954,27,Best Motion Picture,,Three Coins in the Fountain ,"Sol C. Siegel, Producer"
1954,27,Short Subject (Cartoon),,Crazy Mixed Up Pup ,"Walter Lantz, Producer"
1954,27,Short Subject (Cartoon),,Pigs Is Pigs ,"Walt Disney, Producer"
1954,27,Short Subject (Cartoon),,Sandy Claws ,"Edward Selzer, Producer"
1954,27,Short Subject (Cartoon),,"Touché, Pussy Cat ","Fred Quimby, Producer"
1954,27,Short Subject (Cartoon),1,When Magoo Flew ,"Stephen Bosustow, Producer"
1954,27,Short Subject (One Reel),,The First Piano Quartette ,"Otto Lang, Producer"
1954,27,Short Subject (One Reel),,The Strauss Fantasy ,"Johnny Green, Producer"
1954,27,Short Subject (One Reel),1,This Mechanical Age ,"Robert Youngson, Producer"
1954,27,Short Subject (Two Reel),,Beauty and the Bull ,"Cedric Francis, Producer"
1954,27,Short Subject (Two Reel),,Jet Carrier ,"Otto Lang, Producer"
1954,27,Short Subject (Two Reel),,Siam ,"Walt Disney, Producer"
1954,27,Short Subject (Two Reel),1,A Time Out of War ,"Denis Sanders and Terry Sanders, Producers"
1954,27,Sound Recording,,Brigadoon ,"Metro-Goldwyn-Mayer Studio Sound Department, Wesley C. Miller, Sound Director"
1954,27,Sound Recording,,The Caine Mutiny ,"Columbia Studio Sound Department, John P. Livadary, Sound Director"
1954,27,Sound Recording,1,The Glenn Miller Story ,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director"
1954,27,Sound Recording,,Rear Window ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1954,27,Sound Recording,,Susan Slept Here ,"RKO Radio Studio Sound Department, John O. Aalberg, Sound Director"
1954,27,Special Effects,,Hell and High Water ,20th Century-Fox Studio
1954,27,Special Effects,,Them! ,Warner Brothers Studio
1954,27,Special Effects,1,"20,000 Leagues under the Sea ",Walt Disney Studios
1954,27,Writing (Motion Picture Story),,"Bread, Love and Dreams ",Ettore Margadonna
1954,27,Writing (Motion Picture Story),1,Broken Lance ,Philip Yordan
1954,27,Writing (Motion Picture Story),,Forbidden Games ,François Boyer
1954,27,Writing (Motion Picture Story),,Night People ,"Jed Harris, Tom Reed"
1954,27,Writing (Motion Picture Story),,There's No Business Like Show Business ,Lamar Trotti
1954,27,Writing (Screenplay),,The Caine Mutiny ,Stanley Roberts
1954,27,Writing (Screenplay),1,The Country Girl ,George Seaton
1954,27,Writing (Screenplay),,Rear Window ,John Michael Hayes
1954,27,Writing (Screenplay),,Sabrina ,"Billy Wilder, Samuel Taylor, Ernest Lehman"
1954,27,Writing (Screenplay),,Seven Brides for Seven Brothers ,"Albert Hackett, Frances Goodrich, Dorothy Kingsley"
1954,27,Writing (Story and Screenplay),,The Barefoot Contessa ,Joseph L. Mankiewicz
1954,27,Writing (Story and Screenplay),,Genevieve ,William Rose
1954,27,Writing (Story and Screenplay),,The Glenn Miller Story ,"Valentine Davies, Oscar Brodney"
1954,27,Writing (Story and Screenplay),,Knock on Wood ,"Norman Panama, Melvin Frank"
1954,27,Writing (Story and Screenplay),1,On the Waterfront ,Budd Schulberg
1954,27,Honorary Foreign Language Film Award,1,Gate of Hell,
1954,27,Honorary Award,1,Bausch & Lomb Optical Company,
1954,27,Honorary Award,1,Kemp R. Niver,
1954,27,Honorary Award,1,Greta Garbo,
1954,27,Honorary Award,1,Danny Kaye,
1954,27,Honorary Award,1,Jon Whiteley,The Little Kidnappers
1954,27,Honorary Award,1,Vincent Winter,The Little Kidnappers
1955,28,Actor,1,Ernest Borgnine,Marty
1955,28,Actor,,James Cagney,Love Me or Leave Me
1955,28,Actor,,James Dean,East of Eden
1955,28,Actor,,Frank Sinatra,The Man with the Golden Arm
1955,28,Actor,,Spencer Tracy,Bad Day at Black Rock
1955,28,Actor in a Supporting Role,,Arthur Kennedy,Trial
1955,28,Actor in a Supporting Role,1,Jack Lemmon,Mister Roberts
1955,28,Actor in a Supporting Role,,Joe Mantell,Marty
1955,28,Actor in a Supporting Role,,Sal Mineo,Rebel without a Cause
1955,28,Actor in a Supporting Role,,Arthur O'Connell,Picnic
1955,28,Actress,,Susan Hayward,I'll Cry Tomorrow
1955,28,Actress,,Katharine Hepburn,Summertime
1955,28,Actress,,Jennifer Jones,Love Is a Many-Splendored Thing
1955,28,Actress,1,Anna Magnani,The Rose Tattoo
1955,28,Actress,,Eleanor Parker,Interrupted Melody
1955,28,Actress in a Supporting Role,,Betsy Blair,Marty
1955,28,Actress in a Supporting Role,,Peggy Lee,Pete Kelly's Blues
1955,28,Actress in a Supporting Role,,Marisa Pavan,The Rose Tattoo
1955,28,Actress in a Supporting Role,1,Jo Van Fleet,East of Eden
1955,28,Actress in a Supporting Role,,Natalie Wood,Rebel without a Cause
1955,28,Art Direction (Black and White),,Blackboard Jungle ,"Art Direction: Cedric Gibbons, Randall Duell; Set Decoration: Edwin B. Willis, Henry Grace"
1955,28,Art Direction (Black and White),,I'll Cry Tomorrow ,"Art Direction: Cedric Gibbons, Malcolm Brown; Set Decoration: Edwin B. Willis, Hugh B. Hunt"
1955,28,Art Direction (Black and White),,The Man with the Golden Arm ,Art Direction: Joseph C. Wright; Set Decoration: Darrell Silvera
1955,28,Art Direction (Black and White),,Marty ,"Art Direction: Edward S. Haworth, Walter Simonds; Set Decoration: Robert Priestley"
1955,28,Art Direction (Black and White),1,The Rose Tattoo ,"Art Direction: Hal Pereira, Tambi Larsen; Set Decoration: Sam Comer, Arthur Krams"
1955,28,Art Direction (Color),,Daddy Long Legs ,"Art Direction: Lyle Wheeler, John DeCuir; Set Decoration: Walter M. Scott, Paul S. Fox"
1955,28,Art Direction (Color),,Guys and Dolls ,"Art Direction: Oliver Smith, Joseph C. Wright; Set Decoration: Howard Bristol"
1955,28,Art Direction (Color),,Love Is a Many-Splendored Thing ,"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Jack Stubbs"
1955,28,Art Direction (Color),1,Picnic ,"Art Direction: William Flannery, Jo Mielziner; Set Decoration: Robert Priestley"
1955,28,Art Direction (Color),,To Catch a Thief ,"Art Direction: Hal Pereira, Joseph McMillan Johnson; Set Decoration: Sam Comer, Arthur Krams"
1955,28,Cinematography (Black and White),,Blackboard Jungle ,Russell Harlan
1955,28,Cinematography (Black and White),,I'll Cry Tomorrow ,Arthur E. Arling
1955,28,Cinematography (Black and White),,Marty ,Joseph LaShelle
1955,28,Cinematography (Black and White),,Queen Bee ,Charles Lang
1955,28,Cinematography (Black and White),1,The Rose Tattoo ,James Wong Howe
1955,28,Cinematography (Color),,Guys and Dolls ,Harry Stradling
1955,28,Cinematography (Color),,Love Is a Many-Splendored Thing ,Leon Shamroy
1955,28,Cinematography (Color),,A Man Called Peter ,Harold Lipstein
1955,28,Cinematography (Color),,Oklahoma! ,Robert Surtees
1955,28,Cinematography (Color),1,To Catch a Thief ,Robert Burks
1955,28,Costume Design (Black and White),1,I'll Cry Tomorrow ,Helen Rose
1955,28,Costume Design (Black and White),,The Pickwick Papers ,Beatrice Dawson
1955,28,Costume Design (Black and White),,Queen Bee ,Jean Louis
1955,28,Costume Design (Black and White),,The Rose Tattoo ,Edith Head
1955,28,Costume Design (Black and White),,Ugetsu ,Tadaoto Kainoscho
1955,28,Costume Design (Color),,Guys and Dolls ,Irene Sharaff
1955,28,Costume Design (Color),,Interrupted Melody ,Helen Rose
1955,28,Costume Design (Color),1,Love Is a Many-Splendored Thing ,Charles LeMaire
1955,28,Costume Design (Color),,To Catch a Thief ,Edith Head
1955,28,Costume Design (Color),,The Virgin Queen ,"Charles LeMaire, Mary Wills"
1955,28,Directing,,Bad Day at Black Rock ,John Sturges
1955,28,Directing,,East of Eden ,Elia Kazan
1955,28,Directing,1,Marty ,Delbert Mann
1955,28,Directing,,Picnic ,Joshua Logan
1955,28,Directing,,Summertime ,David Lean
1955,28,Documentary (Feature),,Heartbreak Ridge ,"Rene Risacher, Producer"
1955,28,Documentary (Feature),1,Helen Keller in Her Story ,"Nancy Hamilton, Producer"
1955,28,Documentary (Short Subject),,The Battle of Gettysburg ,"Dore Schary, Producer"
1955,28,Documentary (Short Subject),,The Face of Lincoln ,"Wilbur T. Blume, Producer"
1955,28,Documentary (Short Subject),1,Men against the Arctic ,"Walt Disney, Producer"
1955,28,Film Editing,,Blackboard Jungle ,Ferris Webster
1955,28,Film Editing,,The Bridges at Toko-Ri ,Alma Macrorie
1955,28,Film Editing,,Oklahoma! ,"Gene Ruggiero, George Boemler"
1955,28,Film Editing,1,Picnic ,"Charles Nelson, William A. Lyon"
1955,28,Film Editing,,The Rose Tattoo ,Warren Low
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,Battle Cry ,Max Steiner
1955,28,Music (Music Score of a Dramatic or Comedy Picture),1,Love Is a Many-Splendored Thing ,Alfred Newman
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,The Man with the Golden Arm ,Elmer Bernstein
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,Picnic ,George Duning
1955,28,Music (Music Score of a Dramatic or Comedy Picture),,The Rose Tattoo ,Alex North
1955,28,Music (Scoring of a Musical Picture),,Daddy Long Legs ,Alfred Newman
1955,28,Music (Scoring of a Musical Picture),,Guys and Dolls ,"Jay Blackton, Cyril J. Mockridge"
1955,28,Music (Scoring of a Musical Picture),,It's Always Fair Weather ,Andre Previn
1955,28,Music (Scoring of a Musical Picture),,Love Me or Leave Me ,"Percy Faith, George Stoll"
1955,28,Music (Scoring of a Musical Picture),1,Oklahoma! ,"Robert Russell Bennett, Jay Blackton, Adolph Deutsch"
1955,28,Music (Song),,"""I'll Never Stop Loving You"" from Love Me or Leave Me",Music by Nicholas Brodszky; Lyrics by Sammy Cahn
1955,28,Music (Song),1,"""Love Is A Many-Splendored Thing"" from Love Is a Many-Splendored Thing",Music by Sammy Fain; Lyrics by Paul Francis Webster
1955,28,Music (Song),,"""Something's Gotta Give"" from Daddy Long Legs",Music and Lyrics by Johnny Mercer
1955,28,Music (Song),,"""(Love Is) The Tender Trap"" from The Tender Trap",Music by James Van Heusen; Lyrics by Sammy Cahn
1955,28,Music (Song),,"""Unchained Melody"" from Unchained",Music by Alex North; Lyrics by Hy Zaret
1955,28,Best Motion Picture,,Love Is a Many-Splendored Thing ,"Buddy Adler, Producer"
1955,28,Best Motion Picture,1,Marty ,"Harold Hecht, Producer"
1955,28,Best Motion Picture,,Mister Roberts ,"Leland Hayward, Producer"
1955,28,Best Motion Picture,,Picnic ,"Fred Kohlmar, Producer"
1955,28,Best Motion Picture,,The Rose Tattoo ,"Hal B. Wallis, Producer"
1955,28,Short Subject (Cartoon),,Good Will to Men ,"Fred Quimby, William Hanna and Joseph Barbera, Producers"
1955,28,Short Subject (Cartoon),,The Legend of Rock-a-bye Point ,"Walter Lantz, Producer"
1955,28,Short Subject (Cartoon),,No Hunting ,"Walt Disney, Producer"
1955,28,Short Subject (Cartoon),1,Speedy Gonzales ,"Edward Selzer, Producer"
1955,28,Short Subject (One Reel),,Gadgets Galore ,"Robert Youngson, Producer"
1955,28,Short Subject (One Reel),1,Survival City ,"Edmund Reek, Producer"
1955,28,Short Subject (One Reel),,3rd Ave. El ,"Carson Davidson, Producer"
1955,28,Short Subject (One Reel),,Three Kisses ,"Justin Herman, Producer"
1955,28,Short Subject (Two Reel),,The Battle of Gettysburg ,"Dore Schary, Producer"
1955,28,Short Subject (Two Reel),1,The Face of Lincoln ,"Wilbur T. Blume, Producer"
1955,28,Short Subject (Two Reel),,On the Twelfth Day... ,"George K. Arthur, Producer"
1955,28,Short Subject (Two Reel),,Switzerland ,"Walt Disney, Producer"
1955,28,Short Subject (Two Reel),,24-Hour Alert ,"Cedric Francis, Producer"
1955,28,Sound Recording,,Love Is a Many-Splendored Thing ,"20th Century-Fox Studio Sound Department, Carl W. Faulkner, Sound Director"
1955,28,Sound Recording,,Love Me or Leave Me ,"Metro-Goldwyn-Mayer Studio Sound Department, Wesley C. Miller, Sound Director"
1955,28,Sound Recording,,Mister Roberts ,"Warner Brothers Studio Sound Department, William A. Mueller, Sound Director"
